Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Loyalty,loyalty.2,sales.price.formatted
Rotterdam,Asics,Hera Deux Single Tab,Female,36-38,Green,Socks,12.99,8/1/15,9:54 AM,---,---,
Rotterdam,Nike,Hyper Elite Crew,Unisex,40-42,Pink,Socks,20.00,8/1/15,9:55 AM,32666,32666.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,40-42,Blue,Socks,12.99,8/1/15,9:58 AM,---,---,
Rotterdam,Asics,Nimbus 17,Male,46,Multicolor,Shoe,128.00,8/1/15,10:21 AM,---,---,
Rotterdam,Nike,Pro Indy,Female,80C,Grey,Bra,123.00,8/1/15,10:23 AM,---,---,
Rotterdam,Nike,Pro Fierce,Female,75B,Green,Bra,149.00,8/1/15,10:26 AM,36434,36434.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,36-38,Green,Socks,12.99,8/1/15,10:44 AM,31935,31935.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,36-38,Green,Socks,19.00,8/1/15,10:57 AM,30433,30433.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,42-44,Blue,Socks,19.00,8/1/15,11:12 AM,36289,36289.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,42-44,Blue,Socks,19.00,8/1/15,12:31 PM,---,---,
Rotterdam,Asics,MB1878,Male,46,Black,Pants,99.00,8/1/15,12:36 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,40-42,Pink,Socks,24.99,8/1/15,12:44 PM,30574,30574.00,
Rotterdam,Nike,Free 5.0,Male,36,Blue,Shoe,239.00,8/1/15,1:03 PM,34567,34567.00,
Rotterdam,Asics,WB1820,Female,41,Multicolor,Pants,89.00,8/1/15,1:05 PM,---,---,
Rotterdam,Asics,WB1820,Female,36,Grey,Pants,89.00,8/1/15,1:07 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Blue,Socks,21.00,8/1/15,1:18 PM,35738,35738.00,
Rotterdam,Asics,WB1820,Female,43,Yellow,Pants,89.00,8/1/15,1:41 PM,---,---,
Rotterdam,Asics,MB1878,Male,43,Black,Pants,99.00,8/1/15,1:43 PM,37240,37240.00,
Rotterdam,Asics,Nimbus 17,Male,40,Yellow,Shoe,128.00,8/1/15,1:59 PM,30902,30902.00,
Rotterdam,Asics,MB1878,Male,46,Black,Pants,99.00,8/1/15,2:06 PM,---,---,
Rotterdam,Asics,MB1878,Male,38,Black,Pants,99.00,8/1/15,2:12 PM,35891,35891.00,
Rotterdam,Asics,MB1878,Male,40,Black,Pants,99.00,8/1/15,2:12 PM,35891,35891.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,44-46,Blue,Socks,24.99,8/1/15,2:42 PM,30278,30278.00,
Rotterdam,Asics,MB1878,Male,38,Black,Pants,99.00,8/1/15,3:04 PM,37982,37982.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,36-38,Blue,Socks,24.99,8/1/15,3:06 PM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Green,Socks,19.00,8/1/15,3:11 PM,37516,37516.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,38-40,Green,Socks,12.99,8/1/15,3:27 PM,38146,38146.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,40-42,Blue,Socks,19.00,8/1/15,3:45 PM,34634,34634.00,
