id,room,start date,end date,request id
1,L0,2/7/16,2/10/16,1
2,L0,3/13/16,3/21/16,2
3,D2,2/19/16,2/20/16,3
4,X0,1/22/16,1/26/16,4
5,L0,2/22/16,2/26/16,5
6,N0,3/14/16,3/25/16,6
7,N1,3/14/16,3/25/16,6
8,N2,3/14/16,3/25/16,6
9,N0,1/22/16,1/24/16,7
10,N1,1/22/16,1/24/16,7
11,N2,1/22/16,1/24/16,7
12,L6,3/2/16,3/3/16,8
13,D1,2/1/16,2/3/16,9
14,X23,3/17/16,3/20/16,10
15,X24,3/17/16,3/20/16,10
16,D0,3/16/16,3/19/16,11
17,D0,2/2/16,2/8/16,12
18,D4,2/2/16,2/8/16,12
19,L1,2/7/16,2/11/16,13
20,S11,3/19/16,3/21/16,14
21,S12,3/19/16,3/21/16,14
22,S13,3/19/16,3/21/16,14
23,D0,1/10/16,1/11/16,15
24,L0,3/22/16,3/23/16,16
25,X0,1/30/16,2/8/16,17
26,X1,1/30/16,2/8/16,17
27,S3,2/13/16,2/16/16,18
28,S4,2/13/16,2/16/16,18
29,S5,2/13/16,2/16/16,18
30,S6,2/13/16,2/16/16,18
31,N0,1/28/16,2/5/16,19
32,N1,1/28/16,2/5/16,19
33,N2,1/28/16,2/5/16,19
34,N3,1/28/16,2/5/16,19
35,S61,3/2/16,3/6/16,20
36,S62,3/2/16,3/6/16,20
37,S71,3/2/16,3/6/16,20
38,D2,3/26/16,3/28/16,21
39,L0,3/23/16,3/26/16,22
40,N0,1/6/16,1/8/16,23
41,N1,1/6/16,1/8/16,23
42,L1,3/22/16,3/27/16,24
43,L2,3/22/16,3/27/16,24
44,S0,3/12/16,3/14/16,25
45,S1,3/12/16,3/14/16,25
46,L0,1/4/16,1/8/16,26
47,X0,2/26/16,2/28/16,27
48,N0,1/12/16,1/19/16,28
49,N1,1/12/16,1/19/16,28
50,N2,1/12/16,1/19/16,28
51,N3,1/12/16,1/19/16,28
52,N4,1/12/16,1/19/16,28
53,N6,3/9/16,3/13/16,29
54,N7,3/9/16,3/13/16,29
55,N30,3/9/16,3/13/16,29
56,N31,3/9/16,3/13/16,29
57,N32,3/9/16,3/13/16,29
58,N33,3/9/16,3/13/16,29
59,N71,3/9/16,3/13/16,29
60,N72,3/9/16,3/13/16,29
61,L0,3/3/16,3/7/16,30
62,X1,3/2/16,3/3/16,31
63,L0,1/1/16,1/4/16,32
