"","Store","Brand","Type","Gender","Size","Color","Category","Sales.Price","Date","Time","Loyalty","Month","NA."
"1","Tokyo","Asics","WB2585","Female","39","Black","Pants",99,2015-07-15,1899-12-30 07:58:05,"40444",7,29
"2","Tokyo","Asics","MB1878","Male","38","Black","Pants",99,2015-07-15,1899-12-30 09:07:12,"44414",7,29
"3","Tokyo","Asics","Hera Deux Single Tab","Female","42-44","Black","Socks",12.99,2015-07-15,1899-12-30 09:11:32,"45506",7,29
"4","Tokyo","Asics","MB1878","Male","38","Black","Pants",99,2015-07-15,1899-12-30 10:04:48,"47264",7,29
"5","Tokyo","Asics","MB1878","Male","46","Black","Pants",99,2015-07-15,1899-12-30 10:06:15,"---",7,29
"6","Tokyo","Asics","WB2585","Female","46","Black","Pants",99,2015-07-15,1899-12-30 14:52:48,"---",7,29
"7","Tokyo","Asics","MB1878","Male","37","Black","Pants",99,2015-07-15,1899-12-30 15:31:41,"40145",7,29
"8","Tokyo","Asics","WB2585","Female","40","Black","Pants",99,2015-07-15,1899-12-30 17:44:10,"41614",7,29
"9","Tokyo","Asics","MB1878","Male","40","Black","Pants",99,2015-07-15,1899-12-30 18:59:03,"---",7,29
"10","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","38-40","Black","Socks",21,2015-07-15,1899-12-30 19:03:22,"40269",7,29
"11","Tokyo","Asics","WB2585","Female","40","Black","Pants",99,2015-07-15,1899-12-30 19:36:29,"---",7,29
"12","Tokyo","Asics","WB1820","Female","43","Black","Pants",89,2015-07-15,1899-12-30 20:00:58,"44254",7,29
"13","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","42-44","Black","Socks",21,2015-07-15,1899-12-30 22:01:56,"42851",7,29
"14","Tokyo","Asics","WB1820","Female","41","Black","Pants",89,2015-07-15,1899-12-30 22:45:08,"49693",7,29
"15","Tokyo","Asics","MB1878","Male","38","Black","Pants",99,2015-07-15,1899-12-30 23:13:56,"---",7,29
"16","Tokyo","Asics","Kayano Single Tab","Unisex","44-46","Black","Socks",24.99,2015-07-15,1899-12-30 10:02:11,"30730",7,29
"17","Tokyo","Asics","MB1878","Male","44","Black","Pants",99,2015-07-15,1899-12-30 11:01:06,"38097",7,29
"18","Tokyo","Asics","MB1878","Male","46","Black","Pants",99,2015-07-15,1899-12-30 11:25:39,"---",7,29
"19","Tokyo","Nike","Pro Fierce","Female","70B","Black","Bra",149,2015-07-15,1899-12-30 11:32:11,"31535",7,29
"20","Tokyo","Asics","WB1820","Female","43","Black","Pants",89,2015-07-15,1899-12-30 11:38:44,"37578",7,29
"21","Tokyo","Asics","WB2585","Female","44","Black","Pants",99,2015-07-15,1899-12-30 12:09:50,"34811",7,29
"22","Tokyo","Asics","Hera Deux Single Tab","Female","38-40","Black","Socks",12.99,2015-07-15,1899-12-30 13:18:33,"30244",7,29
"23","Tokyo","Asics","MB1878","Male","42","Black","Pants",99,2015-07-15,1899-12-30 13:25:06,"39412",7,29
"24","Tokyo","Asics","MB1878","Male","38","Black","Pants",99,2015-07-15,1899-12-30 13:31:39,"37396",7,29
"25","Tokyo","Asics","MB1878","Male","37","Black","Pants",99,2015-07-15,1899-12-30 13:48:00,"35333",7,29
"26","Tokyo","Asics","MB1878","Male","43","Black","Pants",99,2015-07-15,1899-12-30 14:24:00,"39449",7,29
"27","Tokyo","Asics","WB1820","Female","46","Black","Pants",89,2015-07-15,1899-12-30 14:45:17,"---",7,29
"28","Tokyo","Asics","Nimbus 17","Male","39","Black","Shoe",128,2015-07-15,1899-12-30 14:48:33,"35138",7,29
"29","Tokyo","Asics","MB1878","Male","41","Black","Pants",99,2015-07-15,1899-12-30 15:47:28,"32780",7,29
"30","Tokyo","Asics","Hera Deux Single Tab","Female","38-40","Black","Socks",12.99,2015-07-15,1899-12-30 16:39:50,"33200",7,29
"31","Tokyo","Asics","WB1820","Female","37","Black","Pants",89,2015-07-15,1899-12-30 08:26:53,"---",7,29
"32","Tokyo","Nike","Dri-Fit No-Show","Unisex","46-48","Black","Socks",20,2015-07-15,1899-12-30 12:31:41,"---",7,29
"33","Tokyo","Nike","Free 5.0","Female","37","Black","Shoe",239,2015-07-15,1899-12-30 13:19:12,"54732",7,29
"34","Tokyo","Nike","Hyper Elite Crew","Unisex","42-44","Black","Socks",20,2015-07-15,1899-12-30 14:18:15,"52608",7,29
"35","Tokyo","Asics","WB1820","Female","44","Black","Pants",89,2015-07-15,1899-12-30 14:44:10,"52612",7,29
"36","Tokyo","Asics","MB1878","Male","37","Black","Pants",99,2015-07-15,1899-12-30 15:02:53,"50495",7,29
"37","Tokyo","Asics","MB1878","Male","41","Black","Pants",99,2015-07-15,1899-12-30 15:14:24,"58461",7,29
"38","Tokyo","Asics","MB1878","Male","41","Black","Pants",99,2015-07-15,1899-12-30 16:37:56,"59491",7,29
"39","Tokyo","Asics","MB1878","Male","39","Black","Pants",99,2015-07-15,1899-12-30 16:39:22,"---",7,29
"40","Tokyo","Nike","Dri-Fit No-Show","Unisex","40-42","Black","Socks",20,2015-07-15,1899-12-30 19:00:29,"50426",7,29
"41","Tokyo","Adidas","Rocket Boost","Male","46","Black","Shoe",110,2015-07-15,1899-12-30 12:45:50,"44252",7,29
"42","Tokyo","Adidas","Boston 5","Female","36","Black","Shoe",120,2015-07-15,1899-12-30 13:59:28,"59643",7,29
"43","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","46-48","Black","Socks",21,2015-07-16,1899-12-30 07:46:34,"42778",7,29
"44","Tokyo","Asics","Nimbus 17","Male","41","Black","Shoe",128,2015-07-16,1899-12-30 08:29:46,"41495",7,29
"45","Tokyo","Asics","MB1878","Male","43","Black","Pants",99,2015-07-16,1899-12-30 09:01:27,"---",7,29
"46","Tokyo","Nike","Hyper Elite Crew","Unisex","38-40","Black","Socks",20,2015-07-16,1899-12-30 10:46:34,"49998",7,29
"47","Tokyo","Asics","MB1878","Male","40","Black","Pants",99,2015-07-16,1899-12-30 11:06:44,"44052",7,29
"48","Tokyo","Asics","WB2585","Female","41","Black","Pants",99,2015-07-16,1899-12-30 13:12:00,"47980",7,29
"49","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","36-38","Black","Socks",21,2015-07-16,1899-12-30 14:34:05,"43039",7,29
"50","Tokyo","Asics","MB1878","Male","41","Black","Pants",99,2015-07-16,1899-12-30 15:37:27,"41034",7,29
"51","Tokyo","Asics","MB1878","Male","41","Black","Pants",99,2015-07-16,1899-12-30 18:51:51,"---",7,29
"52","Tokyo","Asics","MB1878","Male","43","Black","Pants",99,2015-07-16,1899-12-30 19:40:48,"48327",7,29
"53","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","44-46","Black","Socks",21,2015-07-16,1899-12-30 20:32:39,"---",7,29
"54","Tokyo","Asics","MB1878","Male","38","Black","Pants",99,2015-07-16,1899-12-30 20:35:32,"42468",7,29
"55","Tokyo","Asics","MB1878","Male","37","Black","Pants",99,2015-07-16,1899-12-30 21:36:00,"49689",7,29
"56","Tokyo","Asics","Nimbus 17","Male","39","Black","Shoe",128,2015-07-16,1899-12-30 22:24:58,"49680",7,29
"57","Tokyo","Asics","WB2585","Female","46","Black","Pants",99,2015-07-16,1899-12-30 10:10:22,"33171",7,29
"58","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","44-46","Black","Socks",21,2015-07-16,1899-12-30 11:15:50,"33314",7,29
"59","Tokyo","Asics","MB1878","Male","36","Black","Pants",99,2015-07-16,1899-12-30 11:38:44,"---",7,29
"60","Tokyo","Asics","MB1878","Male","42","Black","Pants",99,2015-07-16,1899-12-30 12:45:50,"31209",7,29
"61","Tokyo","Asics","MB1878","Male","45","Black","Pants",99,2015-07-16,1899-12-30 13:03:50,"32101",7,29
"62","Tokyo","Asics","MB1878","Male","42","Black","Pants",99,2015-07-16,1899-12-30 13:16:55,"---",7,29
"63","Tokyo","Nike","Pro Classic","Female","75B","Black","Bra",100,2015-07-16,1899-12-30 14:09:17,"36345",7,29
"64","Tokyo","Nike","Dri-Fit No-Show","Unisex","36-38","Black","Socks",20,2015-07-16,1899-12-30 14:30:33,"38675",7,29
"65","Tokyo","Asics","WB2585","Female","38","Black","Pants",99,2015-07-16,1899-12-30 14:58:22,"34022",7,29
"66","Tokyo","Asics","WB1820","Female","46","Black","Pants",89,2015-07-16,1899-12-30 15:09:50,"---",7,29
