"","Store","Brand","Type","Gender","Size","Color","Category","Sales.Price","Date","Time","Loyalty","Month","NA."
"1","Tokyo","Asics","WB1820","Female","46","Green","Pants",89,2015-07-15,1899-12-30 11:05:17,"---",7,29
"2","Tokyo","Nike","Hyper Elite Crew","Unisex","38-40","Green","Socks",20,2015-07-15,1899-12-30 14:54:15,"40592",7,29
"3","Tokyo","Asics","Hera Deux Single Tab","Female","40-42","Green","Socks",12.99,2015-07-15,1899-12-30 14:55:41,"40776",7,29
"4","Tokyo","Asics","Gel Quantics ","Male","37","Green","Shoe",120,2015-07-15,1899-12-30 15:59:03,"43360",7,29
"5","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","36-38","Green","Socks",21,2015-07-15,1899-12-30 21:05:46,"---",7,29
"6","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","38-40","Green","Socks",21,2015-07-15,1899-12-30 10:00:33,"36167",7,29
"7","Tokyo","Nike","Pro Fierce","Female","80C","Green","Bra",149,2015-07-15,1899-12-30 10:10:22,"---",7,29
"8","Tokyo","Nike","Pro Fierce","Female","85F","Green","Bra",149,2015-07-15,1899-12-30 11:20:44,"37379",7,29
"9","Tokyo","Nike","Free 5.0","Female","38","Green","Shoe",239,2015-07-15,1899-12-30 11:28:55,"39261",7,29
"10","Tokyo","Asics","Quick Light Cushion","Unisex","36-38","Green","Socks",19,2015-07-15,1899-12-30 12:42:33,"37960",7,29
"11","Tokyo","Asics","Kayano Single Tab","Unisex","36-38","Green","Socks",24.99,2015-07-15,1899-12-30 12:42:33,"---",7,29
"12","Tokyo","Asics","Kayano Single Tab","Unisex","42-44","Green","Socks",24.99,2015-07-15,1899-12-30 13:28:22,"---",7,29
"13","Tokyo","Asics","WB1820","Female","45","Green","Pants",89,2015-07-15,1899-12-30 14:55:06,"---",7,29
"14","Tokyo","Asics","WB1820","Female","45","Green","Pants",89,2015-07-15,1899-12-30 08:25:27,"54860",7,29
"15","Tokyo","Nike","Pro Classic","Female","70F","Green","Bra",100,2015-07-15,1899-12-30 08:41:17,"58790",7,29
"16","Tokyo","Asics","Quick Light Cushion","Unisex","38-40","Green","Socks",19,2015-07-15,1899-12-30 13:04:48,"51488",7,29
"17","Tokyo","Nike","Free 5.0","Female","43","Green","Shoe",239,2015-07-15,1899-12-30 16:45:08,"54595",7,29
"18","Tokyo","Asics","Quick Light Cushion","Unisex","42-44","Green","Socks",19,2015-07-15,1899-12-30 17:34:05,"---",7,29
"19","Tokyo","Asics","Kayano Single Tab","Unisex","44-46","Green","Socks",24.99,2015-07-15,1899-12-30 18:12:58,"58787",7,29
"20","Tokyo","Asics","WB1820","Female","46","Green","Pants",89,2015-07-15,1899-12-30 20:21:08,"51914",7,29
"21","Tokyo","Nike","Dri-Fit No-Show","Unisex","38-40","Green","Socks",20,2015-07-16,1899-12-30 09:36:00,"40553",7,29
"22","Tokyo","Asics","Kayano Single Tab","Unisex","42-44","Green","Socks",24.99,2015-07-16,1899-12-30 16:07:41,"45577",7,29
"23","Tokyo","Asics","Kayano Single Tab","Unisex","36-38","Green","Socks",24.99,2015-07-16,1899-12-30 18:10:05,"41392",7,29
"24","Tokyo","Asics","Kayano Single Tab","Unisex","44-46","Green","Socks",24.99,2015-07-16,1899-12-30 18:38:53,"42268",7,29
"25","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","44-46","Green","Socks",21,2015-07-16,1899-12-30 18:56:10,"48296",7,29
"26","Tokyo","Nike","Pro Hero","Female","65D","Green","Bra",99,2015-07-16,1899-12-30 10:10:22,"33171",7,29
"27","Tokyo","Asics","Hera Deux Single Tab","Female","44-46","Green","Socks",12.99,2015-07-16,1899-12-30 11:45:17,"---",7,29
"28","Tokyo","Asics","WB1820","Female","39","Green","Pants",89,2015-07-16,1899-12-30 12:42:33,"---",7,29
"29","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","46-48","Green","Socks",21,2015-07-16,1899-12-30 13:46:22,"---",7,29
"30","Tokyo","Nike","Pro Fierce","Female","65E","Green","Bra",149,2015-07-16,1899-12-30 15:16:22,"---",7,29
"31","Tokyo","Nike","Hyper Elite Crew","Unisex","44-46","Green","Socks",20,2015-07-16,1899-12-30 15:42:33,"---",7,29
"32","Tokyo","Nike","Pro Indy","Female","70F","Green","Bra",123,2015-07-16,1899-12-30 16:03:50,"35372",7,29
"33","Tokyo","Nike","Pro Hero","Female","85F","Green","Bra",99,2015-07-16,1899-12-30 16:26:44,"---",7,29
"34","Tokyo","Nike","Dri-Fit No-Show","Unisex","38-40","Green","Socks",20,2015-07-16,1899-12-30 16:49:39,"---",7,29
"35","Tokyo","Nike","Pro Indy","Female","70D","Green","Bra",123,2015-07-16,1899-12-30 11:00:58,"53850",7,29
"36","Tokyo","Asics","WB1820","Female","43","Green","Pants",89,2015-07-16,1899-12-30 11:11:03,"54638",7,29
"37","Tokyo","Nike","Pro Fierce","Female","65B","Green","Bra",149,2015-07-16,1899-12-30 12:15:51,"55846",7,29
"38","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","40-42","Green","Socks",21,2015-07-16,1899-12-30 12:31:41,"52074",7,29
"39","Tokyo","Adidas","Ultra Boost","Male","44","Green","Shoe",139,2015-07-16,1899-12-30 11:50:11,"48851",7,29
"40","Tokyo","Asics","WB1820","Female","36","Green","Pants",89,2015-07-17,1899-12-30 12:21:36,"---",7,29
"41","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","36-38","Green","Socks",21,2015-07-17,1899-12-30 13:59:32,"---",7,29
"42","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","38-40","Green","Socks",21,2015-07-17,1899-12-30 15:37:27,"45556",7,29
"43","Tokyo","Nike","Nike Elite Match Fit Mercurial Crew","Unisex","40-42","Green","Socks",21,2015-07-17,1899-12-30 18:31:41,"45630",7,29
"44","Tokyo","Asics","WB1820","Female","39","Green","Pants",89,2015-07-17,1899-12-30 18:33:08,"42404",7,29
