"","Store","Brand","Type","Gender","Size","Color","Category","Sales.Price","Date","Time","Loyalty","Month","NA."
"1","Tokyo","Asics","WB1820","Female","45","Yellow","Pants",89,2015-07-15,1899-12-30 13:01:56,"42629",7,29
"2","Tokyo","Asics","WB1820","Female","45","Yellow","Pants",89,2015-07-15,1899-12-30 19:30:44,"---",7,29
"3","Tokyo","Nike","Pro Fierce","Female","80C","Yellow","Bra",149,2015-07-15,1899-12-30 19:56:39,"---",7,29
"4","Tokyo","Asics","WB1820","Female","38","Yellow","Pants",89,2015-07-15,1899-12-30 10:52:55,"---",7,29
"5","Tokyo","Adidas","Ultra Boost","Male","41","Yellow","Shoe",139,2015-07-15,1899-12-30 12:19:39,"38269",7,29
"6","Tokyo","Asics","Nimbus 17","Male","39","Yellow","Shoe",128,2015-07-15,1899-12-30 14:02:44,"33712",7,29
"7","Tokyo","Nike","Pro Hero","Female","70D","Yellow","Bra",99,2015-07-15,1899-12-30 16:41:28,"37730",7,29
"8","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-15,1899-12-30 08:48:29,"50590",7,29
"9","Tokyo","Nike","Pro Classic","Female","70E","Yellow","Bra",100,2015-07-15,1899-12-30 14:28:20,"59768",7,29
"10","Tokyo","Asics","WB1820","Female","44","Yellow","Pants",89,2015-07-15,1899-12-30 14:31:12,"---",7,29
"11","Tokyo","Nike","Pro Hero","Female","70D","Yellow","Bra",99,2015-07-15,1899-12-30 15:34:34,"57350",7,29
"12","Tokyo","Asics","WB1820","Female","43","Yellow","Pants",89,2015-07-15,1899-12-30 22:04:48,"52455",7,29
"13","Tokyo","Nike","Air Zoom","Male","44","Yellow","Shoe",220,2015-07-16,1899-12-30 12:41:46,"45136",7,29
"14","Tokyo","Asics","WB1820","Female","39","Yellow","Pants",89,2015-07-16,1899-12-30 21:48:58,"---",7,29
"15","Tokyo","Asics","Cummulus 17","Male","39","Yellow","Shoe",159,2015-07-16,1899-12-30 11:32:11,"33502",7,29
"16","Tokyo","Asics","WB1820","Female","46","Yellow","Pants",89,2015-07-16,1899-12-30 17:30:33,"30015",7,29
"17","Tokyo","Nike","Pro Fierce","Female","75D","Yellow","Bra",149,2015-07-16,1899-12-30 17:35:28,"---",7,29
"18","Tokyo","Asics","WB1820","Female","43","Yellow","Pants",89,2015-07-16,1899-12-30 12:21:36,"58442",7,29
"19","Tokyo","Asics","WB1820","Female","40","Yellow","Pants",89,2015-07-16,1899-12-30 15:12:58,"50190",7,29
"20","Tokyo","Adidas","Rocket Boost","Male","39","Yellow","Shoe",110,2015-07-16,1899-12-30 11:30:33,"54649",7,29
"21","Tokyo","Adidas","Boston 5","Male","40","Yellow","Shoe",125,2015-07-16,1899-12-30 15:04:55,"46193",7,29
"22","Tokyo","Adidas","Rocket Boost","Male","39","Yellow","Shoe",110,2015-07-16,1899-12-30 11:07:39,"---",7,29
"23","Tokyo","Asics","Nimbus 17","Male","46","Yellow","Shoe",128,2015-07-17,1899-12-30 09:48:58,"---",7,29
"24","Tokyo","Nike","Free 5.0","Female","39","Yellow","Shoe",239,2015-07-17,1899-12-30 09:44:11,"33723",7,29
"25","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-17,1899-12-30 11:48:33,"---",7,29
"26","Tokyo","Nike","Air Zoom","Male","45","Yellow","Shoe",220,2015-07-17,1899-12-30 15:39:17,"31810",7,29
"27","Tokyo","Nike","Air Zoom","Female","43","Yellow","Shoe",230,2015-07-17,1899-12-30 16:12:00,"---",7,29
"28","Tokyo","Nike","Pro Fierce","Female","85C","Yellow","Bra",149,2015-07-17,1899-12-30 16:39:50,"32811",7,29
"29","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-17,1899-12-30 09:54:44,"56488",7,29
"30","Tokyo","Asics","WB1820","Female","39","Yellow","Pants",89,2015-07-17,1899-12-30 19:48:00,"58939",7,29
"31","Tokyo","Asics","WB1820","Female","44","Yellow","Pants",89,2015-07-17,1899-12-30 22:00:29,"---",7,29
"32","Tokyo","Adidas","Boston 5","Female","36","Yellow","Shoe",120,2015-07-17,1899-12-30 11:35:28,"57299",7,29
"33","Tokyo","Nike","Pro Fierce","Female","75C","Yellow","Bra",149,2015-07-18,1899-12-30 07:53:46,"48725",7,29
"34","Tokyo","Nike","Air Zoom","Male","40","Yellow","Shoe",230,2015-07-18,1899-12-30 12:34:34,"48704",7,29
"35","Tokyo","Adidas","Rocket Boost","Male","37","Yellow","Shoe",100,2015-07-18,1899-12-30 14:52:48,"42929",7,29
"36","Tokyo","Asics","Nimbus 17","Male","39","Yellow","Shoe",128,2015-07-18,1899-12-30 16:43:41,"48871",7,29
"37","Tokyo","Asics","WB1820","Female","40","Yellow","Pants",89,2015-07-18,1899-12-30 19:35:03,"41029",7,29
"38","Tokyo","Asics","Cummulus 17","Male","46","Yellow","Shoe",159,2015-07-18,1899-12-30 22:33:36,"48801",7,29
"39","Tokyo","Asics","WB1820","Female","43","Yellow","Pants",89,2015-07-18,1899-12-30 10:12:00,"---",7,29
"40","Tokyo","Asics","WB1820","Female","41","Yellow","Pants",89,2015-07-18,1899-12-30 14:10:55,"---",7,29
"41","Tokyo","Asics","WB1820","Female","43","Yellow","Pants",89,2015-07-18,1899-12-30 14:17:28,"32489",7,29
"42","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-18,1899-12-30 08:39:51,"50352",7,29
"43","Tokyo","Nike","Pro Indy","Female","80F","Yellow","Bra",123,2015-07-18,1899-12-30 10:49:27,"53959",7,29
"44","Tokyo","Adidas","Rocket Boost","Male","40","Yellow","Shoe",110,2015-07-18,1899-12-30 13:13:39,"---",7,29
"45","Tokyo","Nike","Pro Classic","Female","90F","Yellow","Bra",100,2015-07-19,1899-12-30 23:54:15,"42538",7,30
"46","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-19,1899-12-30 11:17:28,"31242",7,30
"47","Tokyo","Asics","WB1820","Female","36","Yellow","Pants",89,2015-07-19,1899-12-30 11:24:00,"---",7,30
"48","Tokyo","Asics","WB1820","Female","37","Yellow","Pants",89,2015-07-19,1899-12-30 10:53:46,"52306",7,30
"49","Tokyo","Nike","Pro Fierce","Female","90E","Yellow","Bra",149,2015-07-19,1899-12-30 16:03:22,"58645",7,30
"50","Tokyo","Nike","Pro Fierce","Female","90B","Yellow","Bra",149,2015-07-19,1899-12-30 18:12:58,"55185",7,30
"51","Tokyo","Asics","WB1820","Female","44","Yellow","Pants",89,2015-07-19,1899-12-30 19:19:12,"---",7,30
"52","Tokyo","Adidas","Boston 5","Male","36","Yellow","Shoe",125,2015-07-19,1899-12-30 10:38:11,"---",7,30
"53","Tokyo","Asics","WB1820","Female","42","Yellow","Pants",89,2015-07-20,1899-12-30 11:47:03,"45113",7,30
"54","Tokyo","Asics","WB1820","Female","40","Yellow","Pants",89,2015-07-20,1899-12-30 19:50:53,"46447",7,30
"55","Tokyo","Asics","WB1820","Female","40","Yellow","Pants",89,2015-07-20,1899-12-30 10:18:33,"36362",7,30
"56","Rotterdam","Nike","Pro Fierce","Female","85A","Yellow","Bra",149,2015-07-20,1899-12-30 10:23:28,"38330",7,30
"57","Rotterdam","Nike","Free 5.0","Male","42","Yellow","Shoe",239,2015-07-20,1899-12-30 11:14:11,"---",7,30
"58","Tokyo","Asics","WB1820","Female","38","Yellow","Pants",89,2015-07-20,1899-12-30 15:22:55,"---",7,30
"59","Rotterdam","Nike","Pro Fierce","Female","85D","Yellow","Bra",149,2015-07-20,1899-12-30 15:37:39,"38488",7,30
