date,article.links,facebook.shares
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article19782921.ab,1058
14-Oct,http://www.aftonbladet.se/nyheter/article19776292.ab,611
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article19773501.ab,888
14-Oct,http://www.aftonbladet.se/nyheter/article19770832.ab,457
14-Oct,http://www.aftonbladet.se/nyheter/article19771088.ab,28
14-Oct,http://www.aftonbladet.se/nyheter/article19765337.ab,2587
14-Oct,http://www.aftonbladet.se/nyheter/article19762643.ab,515
14-Oct,http://www.aftonbladet.se/debatt/debattamnen/eu/article19763261.ab,54
14-Oct,http://www.aftonbladet.se/nyheter/article19754999.ab,637
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19743512.ab,2202
14-Oct,http://www.aftonbladet.se/nyheter/article19740784.ab,472
14-Oct,http://www.aftonbladet.se/nyheter/article19740467.ab,70
14-Oct,http://www.aftonbladet.se/minekonomi/article19740299.ab,232
14-Oct,http://www.aftonbladet.se/nyheter/article19738296.ab,305
14-Oct,http://www.aftonbladet.se/nyheter/article19730844.ab,344
14-Oct,http://www.aftonbladet.se/nyheter/article19737474.ab,183
14-Oct,http://www.aftonbladet.se/nyheter/article19726586.ab,268
14-Oct,http://www.aftonbladet.se/nyheter/article19723374.ab,292
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/elisabethoglund/article19722688.ab,35571
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article19721282.ab,3532
14-Oct,http://bloggar.aftonbladet.se/janhelin/2014/10/sondagskolumn-115-om-varfor-jag-hoppas-att-jimmie-akesson-blir-frisk/,461
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article19719767.ab,876
14-Oct,http://www.aftonbladet.se/nyheter/article19717485.ab,78
14-Oct,http://www.aftonbladet.se/kultur/kronikorer/linderborg/article19714511.ab,19
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19715656.ab,143
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article19714757.ab,433
14-Oct,http://www.aftonbladet.se/nyheter/valaret2014/article19713336.ab,326
14-Oct,http://www.aftonbladet.se/nyheter/article19713132.ab,2524
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19710789.ab,25
14-Oct,http://www.aftonbladet.se/nyheter/article19706946.ab,2853
14-Oct,http://www.aftonbladet.se/ledare/article19701540.ab,1099
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/carinabergfeldt/article19701691.ab,10681
14-Oct,http://www.aftonbladet.se/nyheter/article19699991.ab,22
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article19697922.ab,207
14-Oct,http://www.aftonbladet.se/nyheter/article19694595.ab,3931
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19692222.ab,93
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19682403.ab,265
14-Oct,http://www.aftonbladet.se/sportbladet/fotboll/landslagsfotboll/emkvalet/article19679699.ab,140
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article19679350.ab,8296
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article19677893.ab,18530
14-Oct,http://www.aftonbladet.se/nyheter/article19671707.ab,2150
14-Oct,http://www.aftonbladet.se/nyheter/article19666900.ab,22
14-Oct,http://www.aftonbladet.se/nyheter/valaret2014/article19663261.ab,253
14-Oct,http://www.aftonbladet.se/nyheter/article19657890.ab,52
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19660465.ab,892
14-Oct,http://www.aftonbladet.se/nyheter/valaret2014/article19659303.ab,4254
14-Oct,http://www.aftonbladet.se/nyheter/article19655079.ab,0
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19654632.ab,386
14-Oct,http://www.aftonbladet.se/nyheter/article19651949.ab,17
14-Oct,http://www.aftonbladet.se/nyheter/article19650510.ab,2821
14-Oct,http://www.aftonbladet.se/nojesbladet/musik/article19646414.ab,35
14-Oct,http://bloggar.aftonbladet.se/janhelin/2014/10/sondagskolumn-113-om-att-aka-hem-for-att-forsta-sverigedemokraterna/,4500
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article19646569.ab,810
14-Oct,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article19642489.ab,1416
14-Oct,http://www.aftonbladet.se/nyheter/article19636242.ab,1
14-Oct,http://www.aftonbladet.se/nyheter/article19624665.ab,41
14-Oct,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19633246.ab,28
14-Oct,http://www.aftonbladet.se/nyheter/article19632462.ab,2
14-Oct,http://www.aftonbladet.se/debatt/arbetsmarknad/article19625425.ab,2053
14-Oct,http://www.aftonbladet.se/nyheter/article19629380.ab,18
14-Oct,http://www.aftonbladet.se/debatt/article19624889.ab,8703
14-Oct,http://www.aftonbladet.se/nyheter/article19620243.ab,609
14-Oct,http://www.aftonbladet.se/debatt/article19624202.ab,85
14-Oct,http://www.aftonbladet.se/nyheter/article19623297.ab,2734
14-Nov,http://bloggar.aftonbladet.se/tv-kronikan/2014/11/bla-ogon-ar-brannande-men-kan-orsaka-huvudvark/,2
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article19943010.ab,5242
14-Nov,http://www.aftonbladet.se/nojesbladet/tv/article19942038.ab,521
14-Nov,http://www.aftonbladet.se/nyheter/article19941423.ab,322
14-Nov,http://www.aftonbladet.se/nyheter/article19940323.ab,114
14-Nov,http://www.aftonbladet.se/nyheter/article19938651.ab,149
14-Nov,http://www.aftonbladet.se/nyheter/article19935929.ab,1223
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article19934550.ab,49
14-Nov,http://www.aftonbladet.se/nyheter/article19934050.ab,19187
14-Nov,http://www.aftonbladet.se/nyheter/article19931689.ab,128
14-Nov,http://www.aftonbladet.se/kultur/aagard/article19929709.ab,1455
14-Nov,http://www.aftonbladet.se/kultur/article19929040.ab,43
14-Nov,http://www.aftonbladet.se/debatt/debattamnen/politik/article19929276.ab,1008
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article19931513.ab,1777
14-Nov,http://www.aftonbladet.se/nyheter/article19930700.ab,168
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article19929208.ab,14182
14-Nov,http://www.aftonbladet.se/nyheter/article19928010.ab,21
14-Nov,http://www.aftonbladet.se/debatt/debattamnen/politik/article19927206.ab,9849
14-Nov,http://www.aftonbladet.se/nyheter/article19923367.ab,267
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article19925557.ab,2576
14-Nov,http://www.aftonbladet.se/nyheter/article19923644.ab,53
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19923786.ab,786
14-Nov,http://www.aftonbladet.se/nyheter/article19922442.ab,1260
14-Nov,http://www.aftonbladet.se/kultur/aagard/article19917869.ab,1337
14-Nov,http://www.aftonbladet.se/debatt/article19917433.ab,6
14-Nov,http://www.aftonbladet.se/nyheter/article19916882.ab,1048
14-Nov,http://www.aftonbladet.se/nyheter/article19915052.ab,1899
14-Nov,http://www.aftonbladet.se/nyheter/article19908346.ab,119
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/anderswestgardh/article19907262.ab,73
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article19906975.ab,306
14-Nov,http://www.aftonbladet.se/nyheter/article19904823.ab,8340
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19904032.ab,3087
14-Nov,http://www.aftonbladet.se/nyheter/article19903647.ab,82
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19899525.ab,17820
14-Nov,http://www.aftonbladet.se/nyheter/article19898451.ab,225
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article19897446.ab,387
14-Nov,http://www.aftonbladet.se/nyheter/article19896195.ab,1849
14-Nov,http://www.aftonbladet.se/kultur/article19896041.ab,19
14-Nov,http://www.aftonbladet.se/nyheter/article19890369.ab,49
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/robertaschberg/article19894062.ab,154
14-Nov,http://www.aftonbladet.se/kultur/article19888688.ab,2306
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article19893165.ab,864
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19891560.ab,1477
14-Nov,http://www.aftonbladet.se/nyheter/article19889789.ab,2049
14-Nov,http://www.aftonbladet.se/nyheter/article19889692.ab,8076
14-Nov,http://www.aftonbladet.se/nyheter/article19884518.ab,324
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/johanhakelius/article19887010.ab,153
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/johannafranden/article19886904.ab,242
14-Nov,http://www.aftonbladet.se/nyheter/article19880374.ab,1179
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19874634.ab,242
14-Nov,http://www.aftonbladet.se/nyheter/article19874226.ab,298
14-Nov,http://www.aftonbladet.se/nyheter/article19872267.ab,684
14-Nov,http://www.aftonbladet.se/nyheter/article19870156.ab,358
14-Nov,http://www.aftonbladet.se/debatt/debattamnen/politik/article19861200.ab,258
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article19859624.ab,268
14-Nov,http://www.aftonbladet.se/kultur/article19861415.ab,12
14-Nov,http://www.aftonbladet.se/debatt/debattamnen/jamstalldhet/article19858704.ab,1340
14-Nov,http://www.aftonbladet.se/nyheter/article19851685.ab,2
14-Nov,http://www.aftonbladet.se/nyheter/article19851632.ab,9
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article19850804.ab,1380
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19849950.ab,309
14-Nov,http://www.aftonbladet.se/nyheter/article19848084.ab,3010
14-Nov,http://www.aftonbladet.se/nyheter/article19848218.ab,411
14-Nov,http://www.aftonbladet.se/nyheter/article19848330.ab,3
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/peterkadhammar/article19844812.ab,466
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/ehsanfadakar/article19844747.ab,148
14-Nov,http://www.aftonbladet.se/nyheter/article19841138.ab,410
14-Nov,http://www.aftonbladet.se/nyheter/article19839961.ab,498
14-Nov,http://www.aftonbladet.se/debatt/debattamnen/politik/article19834516.ab,5695
14-Nov,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article19837266.ab,1402
14-Nov,http://bloggar.aftonbladet.se/laul/2014/11/zatan-vilken-dag/,13
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19835606.ab,211
14-Nov,http://www.aftonbladet.se/nyheter/article19835584.ab,14
14-Nov,http://www.aftonbladet.se/nyheter/article19833934.ab,147
14-Nov,http://www.aftonbladet.se/nyheter/article19833495.ab,7
14-Nov,http://www.aftonbladet.se/nyheter/article19833375.ab,4079
14-Nov,http://www.aftonbladet.se/nyheter/article19831728.ab,34
14-Nov,http://www.aftonbladet.se/nyheter/article19831194.ab,615
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19831199.ab,17
14-Nov,http://www.aftonbladet.se/nyheter/article19831218.ab,1056
14-Nov,http://www.aftonbladet.se/nyheter/feature/article19827565.ab,179
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19828004.ab,236
14-Nov,http://www.aftonbladet.se/nyheter/article19824271.ab,83
14-Nov,http://www.aftonbladet.se/nyheter/article19822538.ab,765
14-Nov,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article19824610.ab,1340
14-Nov,http://www.aftonbladet.se/nyheter/article19819310.ab,242
14-Nov,http://bloggar.aftonbladet.se/omvarlden/2014/11/25-ar-efter-berlinmurens-fall-gor-kommunisterna-gor-comeback/,69
14-Nov,http://bloggar.aftonbladet.se/ledarbloggen/2014/11/sand-in-clownerna/,35
14-Nov,http://bloggar.aftonbladet.se/ledarbloggen/2014/11/om-m-faller-lofven-vad-ska-de-gora-sen/,448
14-Nov,http://www.aftonbladet.se/nyheter/article19812574.ab,355
