date,article.links,facebook.shares,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20563417.ab,550,
Apr-15,http://www.aftonbladet.se/nyheter/article20566512.ab,167,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article20575829.ab,565,
Apr-15,http://www.aftonbladet.se/nyheter/article20578269.ab,4230,
Apr-15,http://www.aftonbladet.se/nojesbladet/kronikorer/fredrikvirtanen/article20582709.ab,245,
Apr-15,http://www.aftonbladet.se/nyheter/article20590829.ab,728,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20590260.ab,209,
Apr-15,http://www.aftonbladet.se/nyheter/article20589409.ab,2530,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/henriktorehammar/article20588111.ab,751,
Apr-15,http://www.aftonbladet.se/nyheter/article20595479.ab,796,
Apr-15,http://www.aftonbladet.se/nyheter/article20595394.ab,157,
Apr-15,http://www.aftonbladet.se/nyheter/article20595136.ab,7,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20593904.ab,340,
Apr-15,http://www.aftonbladet.se/nyheter/article20593488.ab,550,
Apr-15,http://www.aftonbladet.se/debatt/article20593463.ab,548,
Apr-15,http://www.aftonbladet.se/nyheter/article20591752.ab,137,
Apr-15,http://www.aftonbladet.se/nyheter/article20602222.ab,45,
Apr-15,http://www.aftonbladet.se/nyheter/article20601940.ab,432,
Apr-15,http://www.aftonbladet.se/kultur/article20601821.ab,1470,
Apr-15,http://www.aftonbladet.se/nyheter/article20601022.ab,364,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20601414.ab,27,
Apr-15,http://www.aftonbladet.se/nyheter/article20600505.ab,274,
Apr-15,http://www.aftonbladet.se/nyheter/article20599483.ab,823,
Apr-15,http://www.aftonbladet.se/nyheter/article20596987.ab,33,
Apr-15,http://www.aftonbladet.se/nyheter/article20596086.ab,765,
Apr-15,http://www.aftonbladet.se/nojesbladet/klick/article20596714.ab,112,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20597329.ab,416,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20597224.ab,568,
Apr-15,http://www.aftonbladet.se/podcast/ovriga/ledarpodden/article20607392.ab,396,
Apr-15,http://www.aftonbladet.se/nyheter/article20605436.ab,2005,
Apr-15,http://www.aftonbladet.se/nyheter/article20610779.ab,232,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20612541.ab,314,
Apr-15,http://www.aftonbladet.se/nyheter/article20607974.ab,621,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article20621358.ab,449,
Apr-15,http://www.aftonbladet.se/nyheter/article20619847.ab,1204,
Apr-15,http://www.aftonbladet.se/kultur/article20621833.ab,3,
Apr-15,http://www.aftonbladet.se/nyheter/article20631203.ab,330,
Apr-15,http://www.aftonbladet.se/debatt/article20638330.ab,83,
Apr-15,http://www.aftonbladet.se/kultur/article20639228.ab,123,
Apr-15,http://www.aftonbladet.se/kultur/article20642080.ab,232,
Apr-15,http://www.aftonbladet.se/nyheter/article20649884.ab,142,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20646972.ab,511,
Apr-15,http://www.aftonbladet.se/nyheter/article20659185.ab,678,
Apr-15,http://www.aftonbladet.se/nyheter/article20656566.ab,387,
Apr-15,http://www.aftonbladet.se/nyheter/article20653848.ab,1870,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20658129.ab,3680,
Apr-15,http://www.aftonbladet.se/nyheter/article20658916.ab,9547,
Apr-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article20667996.ab,222,
Apr-15,http://www.aftonbladet.se/nyheter/article20673649.ab,639,
Apr-15,http://www.aftonbladet.se/nyheter/article20672679.ab,38,
Apr-15,http://www.aftonbladet.se/kultur/article20682634.ab,5197,
Apr-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article20686695.ab,3915,
Apr-15,http://www.aftonbladet.se/nyheter/kolumnister/peterkadhammar/article20686538.ab,34,
