date,article.links,facebook.shares
Jul-15,http://www.aftonbladet.se/nyheter/article21193317.ab,743
Jul-15,http://www.aftonbladet.se/nyheter/article21187396.ab,3686
Jul-15,http://www.aftonbladet.se/kultur/article21186609.ab,383
Jul-15,http://www.aftonbladet.se/debatt/article21176908.ab,614
Jul-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article21170641.ab,2827
Jul-15,http://www.aftonbladet.se/nyheter/article21164660.ab,535
Jul-15,http://www.aftonbladet.se/nyheter/article21152442.ab,1439
Jul-15,http://www.aftonbladet.se/nyheter/article21149587.ab,4224
Jul-15,http://www.aftonbladet.se/nyheter/article21148580.ab,1289
Jul-15,http://www.aftonbladet.se/nyheter/article21147238.ab,4048
Jul-15,http://www.aftonbladet.se/nyheter/article21144602.ab,615
Jul-15,http://www.aftonbladet.se/nyheter/article21145074.ab,889
Jul-15,http://www.aftonbladet.se/ledare/ledarkronika/linneaswedenmark/article21134314.ab,1338
Jul-15,http://www.aftonbladet.se/nyheter/article21131077.ab,227
Jul-15,http://www.aftonbladet.se/debatt/article21116234.ab,3101
Jul-15,http://www.aftonbladet.se/nyheter/kolumnister/patriklundberg/article21105847.ab,13936
Jul-15,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article21105912.ab,1821
Jul-15,http://www.aftonbladet.se/debatt/article21090427.ab,2753
Jul-15,http://www.aftonbladet.se/ledare/ledarkronika/somaralnaher/article21102208.ab,3898
Jul-15,http://www.aftonbladet.se/debatt/article21091189.ab,929
Jul-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21074156.ab,906
Jul-15,http://www.aftonbladet.se/nyheter/article21069378.ab,1282
Jul-15,http://www.aftonbladet.se/nyheter/kolumnister/jenniferwegerup/article21071915.ab,11501
Jul-15,http://www.aftonbladet.se/nyheter/article21067610.ab,772
Jul-15,http://www.aftonbladet.se/debatt/article21063196.ab,189
Jul-15,http://www.aftonbladet.se/kultur/article21057046.ab,4350
Jul-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21059027.ab,475
Jul-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21058846.ab,1406
Jul-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/07/vi-ar-inte-bara-storst-vi-ar-bast-ocksa/,71
Jul-15,http://www.aftonbladet.se/nyheter/article21055622.ab,199
Jul-15,http://www.aftonbladet.se/nyheter/article21050257.ab,9
Jul-15,http://www.aftonbladet.se/debatt/debattamnen/samhalle/article21049983.ab,2589
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21337659.ab,6562
Aug-15,http://www.aftonbladet.se/nyheter/article21334361.ab,280
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article21331040.ab,2639
Aug-15,http://www.aftonbladet.se/nyheter/article21329448.ab,173
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21328682.ab,154
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/hermanlindqvist/article21327742.ab,14233
Aug-15,http://www.aftonbladet.se/nyheter/article21327385.ab,73
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article21327276.ab,8572
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21327206.ab,2370
Aug-15,http://www.aftonbladet.se/kultur/article21322055.ab,677
Aug-15,http://www.aftonbladet.se/nyheter/article21322063.ab,374
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21321434.ab,842
Aug-15,http://www.aftonbladet.se/nyheter/article21316679.ab,555
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/wolfganghansson/article21312828.ab,254
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/peterkadhammar/article21310772.ab,713
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21309995.ab,234
Aug-15,http://www.aftonbladet.se/nyheter/article21307204.ab,3972
Aug-15,http://www.aftonbladet.se/nyheter/article21304886.ab,3690
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21302374.ab,182
Aug-15,http://www.aftonbladet.se/debatt/article21301195.ab,527
Aug-15,http://www.aftonbladet.se/nyheter/article21293678.ab,263
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/jenniferwegerup/article21291758.ab,6408
Aug-15,http://www.aftonbladet.se/nyheter/article21290578.ab,11880
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21287179.ab,143
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/wolfganghansson/article21282974.ab,1982
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21282241.ab,58
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21282813.ab,443
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21282606.ab,4301
Aug-15,http://www.aftonbladet.se/nyheter/article21279957.ab,11852
Aug-15,http://www.aftonbladet.se/svenskahjaltar/natkarlek/article21271403.ab,9494
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/wolfganghansson/article21267098.ab,25
Aug-15,http://www.aftonbladet.se/debatt/debattamnen/skola/article21267556.ab,1963
Aug-15,http://www.aftonbladet.se/nyheter/article21265638.ab,6062
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21264795.ab,273
Aug-15,http://www.aftonbladet.se/sportbladet/hockey/landslag/damkronorna/article21264649.ab,1671
Aug-15,http://www.aftonbladet.se/nyheter/article21263819.ab,79
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21262211.ab,619
Aug-15,http://www.aftonbladet.se/nyheter/samhalle/article21246091.ab,1091
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21258512.ab,2618
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21253187.ab,1250
Aug-15,http://www.aftonbladet.se/nyheter/article21249681.ab,2283
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21247560.ab,2233
Aug-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article21241240.ab,92
Aug-15,http://www.aftonbladet.se/nyheter/article21239449.ab,2364
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21233671.ab,6959
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article21231394.ab,17562
Aug-15,http://www.aftonbladet.se/nyheter/article21226501.ab,971
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/malinwollin/article21219023.ab,3308
Aug-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21218444.ab,403
Aug-15,http://www.aftonbladet.se/ledare/fredagmed/ingvarpersson/article21213326.ab,441
Aug-15,http://www.aftonbladet.se/sportbladet/article21212414.ab,772
Aug-15,http://www.aftonbladet.se/nyheter/article21212007.ab,15422
Aug-15,http://www.aftonbladet.se/debatt/article21209770.ab,3403
Aug-15,http://www.aftonbladet.se/nyheter/article21206080.ab,2031
Aug-15,http://www.aftonbladet.se/nyheter/kolumnister/peterkadhammar/article21206344.ab,3677
Aug-15,http://www.aftonbladet.se/nyheter/article21204880.ab,7631
Sep-15,http://www.aftonbladet.se/nyheter/article21503370.ab,13
Sep-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21494978.ab,492
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21490938.ab,3111
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21491092.ab,4489
Sep-15,http://www.aftonbladet.se/nyheter/article21490065.ab,283
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21488996.ab,504
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21484786.ab,3630
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21478006.ab,1182
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21470731.ab,5970
Sep-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21470219.ab,269
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21469965.ab,499
Sep-15,http://www.aftonbladet.se/nyheter/article21468278.ab,36
Sep-15,http://www.aftonbladet.se/nyheter/article21467059.ab,1359
Sep-15,http://www.aftonbladet.se/nyheter/article21465899.ab,260
Sep-15,http://www.aftonbladet.se/nyheter/article21463835.ab,281
Sep-15,http://www.aftonbladet.se/nyheter/article21453212.ab,2092
Sep-15,http://www.aftonbladet.se/nyheter/article21450757.ab,741
Sep-15,http://www.aftonbladet.se/nyheter/article21449394.ab,1391
Sep-15,http://www.aftonbladet.se/nyheter/article21447175.ab,6792
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21447289.ab,1176
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article21443820.ab,1104
Sep-15,http://www.aftonbladet.se/nyheter/article21443662.ab,7609
Sep-15,http://www.aftonbladet.se/nyheter/article21439774.ab,1
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21438938.ab,1276
Sep-15,http://www.aftonbladet.se/podcast/ovriga/ledarpodden/article21437220.ab,128
Sep-15,http://www.aftonbladet.se/nyheter/article21436580.ab,735
Sep-15,http://www.aftonbladet.se/nyheter/kolumnister/johannafranden/article21434424.ab,14
Sep-15,http://www.aftonbladet.se/nojesbladet/tv/article21434201.ab,185
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21433634.ab,474
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21432077.ab,380
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21428485.ab,1058
Sep-15,http://www.aftonbladet.se/nyheter/article21427326.ab,143
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21426899.ab,1360
Sep-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/09/trevligt-smaprat-for-direktorer/,21
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21422708.ab,5255
Sep-15,http://www.aftonbladet.se/nyheter/article21422245.ab,8884
Sep-15,http://www.aftonbladet.se/nyheter/article21421007.ab,4423
Sep-15,http://www.aftonbladet.se/nyheter/samhalle/article21414017.ab,2312
Sep-15,http://www.aftonbladet.se/nyheter/article21417435.ab,1710
Sep-15,http://www.aftonbladet.se/debatt/article21415090.ab,1342
Sep-15,http://www.aftonbladet.se/debatt/article21413827.ab,6404
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21413854.ab,2493
Sep-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21411739.ab,90
Sep-15,http://www.aftonbladet.se/nyheter/article21411011.ab,937
Sep-15,http://www.aftonbladet.se/nyheter/article21408781.ab,832
Sep-15,http://www.aftonbladet.se/nyheter/article21405505.ab,1354
Sep-15,http://www.aftonbladet.se/nyheter/article21405119.ab,103
Sep-15,http://www.aftonbladet.se/kultur/article21394954.ab,1562
Sep-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21397317.ab,8441
Sep-15,http://www.aftonbladet.se/nyheter/article21396939.ab,1000
Sep-15,http://www.aftonbladet.se/nyheter/paflykt/article21396788.ab,1
Sep-15,http://www.aftonbladet.se/debatt/article21393804.ab,202
Sep-15,http://www.aftonbladet.se/nyheter/paflykt/article21388133.ab,1834
Sep-15,http://www.aftonbladet.se/nyheter/article21390075.ab,14623
Sep-15,http://www.aftonbladet.se/nyheter/article21391829.ab,1492
Sep-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21391755.ab,368
