accountID,num_of_pymt,avg_pymt_amount,last_payment_date
5464311,3,3.7,2016-08-14
5498783,8,6.94,2016-01-27
5518525,16,112.5,2016-08-11
5549536,3,7.5,2016-05-19
5557496,4,2.5,2016-02-29
5557566,3,19,2016-04-10
5565496,2,3.09,2016-08-19
5577850,3,6.67,2016-07-20
5583776,7,11.07,2016-08-11
5607276,5,5,2016-08-14
5612746,6,21.33,2016-08-18
5625064,5,6,2016-06-26
5625098,4,1.25,2016-04-23
5628876,6,4.17,2016-02-17
5631203,2,2.5,2016-03-15
5631354,5,5,2016-07-09
5644804,2,13.5,2016-05-23
5663473,2,15.45,2016-03-29
5667212,5,4,2016-05-11
5697962,5,6.79,2016-07-26
5700583,3,3.33,2016-06-30
5703139,4,2.5,2016-04-30
5709037,2,13.63,2016-03-01
5720212,7,5.63,2016-08-04
5735809,8,8.13,2016-08-03
5726415,28,7.5,2016-08-31
5739743,10,165.42,2016-08-05
5754667,3,7.33,2016-04-18
5754753,9,8,2016-05-04
5770768,2,1.5,2016-04-21
5772633,2,7.5,2016-03-31
5776019,2,2.5,2016-04-07
5777043,15,21.67,2016-08-21
5806836,2,7.45,2016-06-14
5820182,2,4.04,2016-07-29
5827636,2,2.5,2016-08-16
5829478,2,15.78,2016-07-18
5843329,2,4.33,2016-08-15
5107829,12,2.5,2016-08-23
5117393,6,3.75,2016-08-16
5212156,11,2.73,2016-08-21
5215939,2,15,2016-06-29
5226530,10,9.5,2016-08-29
5235815,4,17.5,2016-07-14
5236257,20,5.75,2016-08-25
5251209,4,30,2016-09-03
5298666,9,15.5,2016-08-31
5305129,12,3.28,2016-08-18
5305823,2,10,2016-02-22
5319967,11,5.11,2016-08-29
5325533,6,6.09,2016-08-15
5329287,4,7.23,2016-06-22
5363054,4,4.24,2016-07-25
5380723,6,3.84,2016-08-27
5411523,4,18.75,2016-02-23
5425915,4,5,2016-08-12
5432309,66,4.09,2016-08-29
5456444,2,13.88,2016-08-03
5743856,4,6.44,2016-05-18
5747398,2,3.5,2016-03-21
5774513,6,100.24,2016-07-01
5775726,2,2.85,2016-05-12
5782144,4,3.37,2016-07-21
5791863,2,4,2016-05-09
5796045,2,22.79,2016-06-06
5806061,2,49,2016-06-11
5808713,2,1,2016-06-22
5836221,3,55.66,2016-09-02
5836939,2,25,2016-08-04
5852584,7,9.85,2016-09-02
5489044,2,5,2016-05-11
5498224,3,6.67,2016-05-18
5498773,2,5,2016-06-08
5502585,19,9.74,2016-09-01
5517980,3,1.67,2016-08-22
5525437,7,21.43,2016-07-28
5526511,2,7.5,2016-07-13
5532790,9,8.33,2016-04-05
5564128,5,24.42,2016-08-12
5566616,2,2.73,2016-03-06
5580821,22,3.86,2016-08-10
5594905,6,9.5,2016-06-17
5595126,5,7,2016-08-25
5620143,2,12.5,2016-03-23
5620310,4,6.25,2016-04-03
5629927,8,5.63,2016-03-08
5633581,8,6.25,2016-04-10
5656051,30,4,2016-08-24
5657117,16,7.5,2016-09-01
5658295,16,9.89,2016-09-02
5666465,5,10,2016-07-19
5719534,3,7.43,2016-04-13
5709539,11,11.82,2016-06-24
5721418,5,5,2016-08-09
5739370,2,3.5,2016-02-08
5745410,3,4.64,2016-02-19
5750191,3,5.66,2016-03-16
5758412,6,19.16,2016-08-09
5772088,2,5,2016-08-05
5773464,2,13.5,2016-03-26
5778597,4,4.25,2016-08-24
5779697,2,107.03,2016-06-21
5780536,2,1,2016-04-12
5784972,2,4,2016-08-14
5795736,2,64,2016-05-17
5804069,2,6.5,2016-08-01
5806844,2,14.5,2016-06-15
5808152,2,4,2016-07-29
5832371,12,8.79,2016-08-27
5834885,2,11,2016-08-01
5848657,2,4.88,2016-08-26
5848656,2,2.5,2016-08-26
5851840,2,4.85,2016-08-30
5186112,5,8,2016-07-16
5213172,10,1,2016-08-10
5224860,2,2.73,2016-02-22
5226283,10,30,2016-08-29
5226808,4,1.25,2016-05-16
5230362,2,14.25,2016-04-15
5237902,45,2.33,2016-08-30
5279617,2,25,2016-07-10
5281810,9,6.44,2016-06-07
5285579,15,8.65,2016-08-07
5304526,9,11.11,2016-08-08
5307893,4,8.4,2016-07-21
5321709,3,8.33,2016-05-08
5331991,3,11.67,2016-06-18
5333478,4,37.5,2016-08-05
5340164,2,58.16,2016-08-29
5363949,2,13.63,2016-06-25
5381029,3,3.33,2016-07-22
5425867,11,16.82,2016-08-24
5439371,10,12.7,2016-06-07
5754229,2,5,2016-03-18
5795995,2,4.87,2016-07-18
5817680,2,3.5,2016-06-29
5845050,2,3.73,2016-08-21
5845704,2,5.5,2016-08-25
5846329,2,14.43,2016-08-20
5473889,8,77.06,2016-08-02
5475205,3,5,2016-05-18
5476324,4,5.71,2016-06-14
5516097,14,21.79,2016-08-21
5523402,2,56.25,2016-06-17
5534748,6,10,2016-08-29
5559850,4,3.75,2016-08-23
5564668,3,3.83,2016-08-31
5573821,2,4.03,2016-08-13
5585318,6,1.67,2016-03-24
5853052,6,4.64,2016-08-16
5619406,10,9.5,2016-08-12
5624630,3,1.67,2016-02-29
5634871,5,2,2016-09-02
5651984,2,2.85,2016-07-29
5686340,4,4.09,2016-02-17
5701532,2,15,2016-05-12
5706227,6,5.33,2016-07-08
