date,article.links,facebook.shares
Oct-15,http://www.aftonbladet.se/nojesbladet/musik/article21671889.ab,378
Oct-15,http://www.aftonbladet.se/debatt/article21678488.ab,1913
Oct-15,http://www.aftonbladet.se/debatt/article21668732.ab,2410
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21673703.ab,991
Oct-15,http://www.aftonbladet.se/nyheter/article21673442.ab,2287
Oct-15,http://www.aftonbladet.se/nyheter/article21669328.ab,3702
Oct-15,http://www.aftonbladet.se/nyheter/article21667075.ab,1084
Oct-15,http://www.aftonbladet.se/debatt/debattamnen/jamstalldhet/article21663185.ab,1085
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21666225.ab,3298
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article21663552.ab,1099
Oct-15,http://www.aftonbladet.se/debatt/article21662718.ab,2631
Oct-15,http://www.aftonbladet.se/kultur/article21657721.ab,323
Oct-15,http://www.aftonbladet.se/nyheter/article21659911.ab,138
Oct-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/10/halla-kinberg-batra-jorden-anropar/,347
Oct-15,http://www.aftonbladet.se/debatt/article21650334.ab,8208
Oct-15,http://www.aftonbladet.se/gulabatarna/article21647327.ab,109
Oct-15,http://www.aftonbladet.se/debatt/article21648054.ab,12280
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21644869.ab,1
Oct-15,http://www.aftonbladet.se/nyheter/article21646088.ab,692
Oct-15,http://bloggar.aftonbladet.se/janhelin/2015/10/om-betydelsen-av-hatbrott-terrordad-och-vansinne/,209
Oct-15,http://bloggar.aftonbladet.se/gunnarfredriksson/2015/10/vem-ar-sverigedemokrat/,6
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/alexschulman/article21644001.ab,14371
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article21643374.ab,815
Oct-15,http://www.aftonbladet.se/nyheter/article21642042.ab,587
Oct-15,http://www.aftonbladet.se/nyheter/article21641274.ab,2136
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article21639857.ab,7017
Oct-15,http://www.aftonbladet.se/nyheter/article21639605.ab,7567
Oct-15,http://www.aftonbladet.se/nyheter/article21639134.ab,2376
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21638158.ab,2100
Oct-15,http://www.aftonbladet.se/kultur/article21636684.ab,2665
Oct-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article21636253.ab,247
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21634802.ab,1
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21632791.ab,45
Oct-15,http://www.aftonbladet.se/nyheter/article21629146.ab,10559
Oct-15,http://www.aftonbladet.se/kultur/teater/article21620068.ab,0
Oct-15,http://www.aftonbladet.se/nyheter/article21627439.ab,213
Oct-15,http://www.aftonbladet.se/nyheter/article21626987.ab,35
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21624907.ab,18686
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21618791.ab,1746
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21618360.ab,106
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21617054.ab,338
Oct-15,http://www.aftonbladet.se/nojesbladet/article21616321.ab,656
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21615883.ab,1294
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21615587.ab,4419
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21615090.ab,5
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article21614799.ab,7756
Oct-15,http://www.aftonbladet.se/nojesbladet/article21614104.ab,19297
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21612995.ab,465
Oct-15,http://www.aftonbladet.se/nojesbladet/article21609637.ab,14189
Oct-15,http://www.aftonbladet.se/nyheter/article21606544.ab,1235
Oct-15,http://www.aftonbladet.se/nyheter/article21606923.ab,206
Oct-15,http://www.aftonbladet.se/nyheter/article21606653.ab,234
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21606598.ab,0
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21605391.ab,8369
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article21603855.ab,5769
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21601596.ab,138
Oct-15,http://www.aftonbladet.se/nyheter/article21593051.ab,80
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21590486.ab,42
Oct-15,http://www.aftonbladet.se/kultur/article21589882.ab,2381
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21588957.ab,3865
Oct-15,http://www.aftonbladet.se/debatt/article21582426.ab,400
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21584167.ab,410
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21582305.ab,13277
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article21581741.ab,78
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21580895.ab,404
Oct-15,http://www.aftonbladet.se/debatt/article21576397.ab,4510
Oct-15,http://www.aftonbladet.se/nyheter/article21572639.ab,573
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21577065.ab,55
Oct-15,http://www.aftonbladet.se/kultur/article21570759.ab,358
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21572347.ab,2644
Oct-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article21569701.ab,288
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21569102.ab,0
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21566654.ab,79
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21566501.ab,1189
Oct-15,http://www.aftonbladet.se/nyheter/article21566246.ab,2729
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/evafranchell/article21564936.ab,319
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21561483.ab,1215
Oct-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21560686.ab,650
Oct-15,http://www.aftonbladet.se/nyheter/article21560589.ab,571
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21560137.ab,303
Oct-15,http://www.aftonbladet.se/debatt/article21548048.ab,1470
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21558596.ab,2687
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article21558454.ab,2496
Oct-15,http://www.aftonbladet.se/nyheter/article21558010.ab,8342
Oct-15,http://bloggar.aftonbladet.se/basket/2015/10/har-bara-valdigt-svart-for-sd/,305
Oct-15,http://www.aftonbladet.se/nyheter/article21557018.ab,4119
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21556767.ab,796
Oct-15,http://www.aftonbladet.se/nyheter/article21555888.ab,5994
Oct-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article21547733.ab,2355
Oct-15,http://www.aftonbladet.se/nojesbladet/article21547157.ab,3827
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21544451.ab,1514
Oct-15,http://www.aftonbladet.se/nyheter/article21543973.ab,1641
Oct-15,http://www.aftonbladet.se/nyheter/article21538550.ab,2045
Oct-15,http://www.aftonbladet.se/nyheter/paflykt/article21533151.ab,59
Oct-15,http://www.aftonbladet.se/nyheter/article21533370.ab,1282
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article21531012.ab,1751
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21530982.ab,2535
Oct-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/10/finns-det-ingen-i-kd-som-forstar-politik/,147
Oct-15,http://www.aftonbladet.se/debatt/article21514546.ab,304
Oct-15,http://www.aftonbladet.se/podcast/ovriga/ledarpodden/article21513022.ab,66
Oct-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21511133.ab,4764
Oct-15,http://www.aftonbladet.se/nyheter/article21507990.ab,115
Oct-15,http://www.aftonbladet.se/nyheter/samhalle/article21501054.ab,459
Nov-15,http://www.aftonbladet.se/nyheter/article21854492.ab,719
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/paradisehotel/article21853643.ab,504
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21853053.ab,592
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/paradisehotel/article21849951.ab,6986
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21849218.ab,346
Nov-15,http://www.aftonbladet.se/nyheter/article21849217.ab,702
Nov-15,http://www.aftonbladet.se/nyheter/article21848540.ab,157
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21844883.ab,3592
Nov-15,http://www.aftonbladet.se/nyheter/article21847736.ab,119
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21846695.ab,223
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21843644.ab,1431
Nov-15,http://www.aftonbladet.se/kultur/article21836398.ab,843
Nov-15,http://www.aftonbladet.se/nyheter/article21839261.ab,3516
Nov-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/11/nej-medieutredningen-har-inte-analyserat-hatsajterna/,22
Nov-15,http://www.aftonbladet.se/nyheter/article21825080.ab,145
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article21830600.ab,80
Nov-15,http://www.aftonbladet.se/nyheter/article21827605.ab,1358
Nov-15,http://www.aftonbladet.se/kultur/article21822348.ab,3530
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/peterkadhammar/article21827401.ab,1044
Nov-15,http://www.aftonbladet.se/kultur/article21824799.ab,7660
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21818995.ab,5306
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21812962.ab,667
Nov-15,http://www.aftonbladet.se/nyheter/article21762653.ab,205
Nov-15,http://www.aftonbladet.se/nyheter/article21809312.ab,714
Nov-15,http://www.aftonbladet.se/debatt/article21800205.ab,5491
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21782348.ab,475
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21784316.ab,260
Nov-15,http://www.aftonbladet.se/kultur/article21758926.ab,679
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/fredrikvirtanen/article21762710.ab,2940
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21759339.ab,860
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21746389.ab,194
Nov-15,http://www.aftonbladet.se/nyheter/article21742623.ab,2130
Nov-15,http://www.aftonbladet.se/nojesbladet/article21739177.ab,521
Nov-15,http://www.aftonbladet.se/nyheter/article21741239.ab,11341
Nov-15,http://www.aftonbladet.se/nyheter/article21736011.ab,1830
Nov-15,http://www.aftonbladet.se/nyheter/article21736886.ab,793
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21736562.ab,97
Nov-15,http://www.aftonbladet.se/nojesbladet/article21735831.ab,2850
Nov-15,http://www.aftonbladet.se/debatt/article21734096.ab,2945
Nov-15,http://www.aftonbladet.se/nyheter/article21732536.ab,991
Nov-15,http://www.aftonbladet.se/nyheter/article21730675.ab,2987
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article21732342.ab,1107
Nov-15,http://www.aftonbladet.se/nyheter/article21730433.ab,21
Nov-15,http://www.aftonbladet.se/nojesbladet/article21731771.ab,1745
Nov-15,http://www.aftonbladet.se/nyheter/article21731489.ab,1161
Nov-15,http://www.aftonbladet.se/nojesbladet/article21731403.ab,21485
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21730958.ab,571
Nov-15,http://www.aftonbladet.se/nyheter/article21730156.ab,1993
Nov-15,http://www.aftonbladet.se/nyheter/article21729453.ab,2531
Nov-15,http://www.aftonbladet.se/nyheter/article21728719.ab,1514
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21727923.ab,10475
Nov-15,http://www.aftonbladet.se/nyheter/article21727865.ab,19637
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/samycketbattre/article21726990.ab,91
Nov-15,http://www.aftonbladet.se/nyheter/paflykt/article21727383.ab,9309
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/samycketbattre/article21724318.ab,7625
Nov-15,http://www.aftonbladet.se/sportbladet/fotboll/article21724050.ab,2750
Nov-15,http://www.aftonbladet.se/nyheter/article21723743.ab,1141
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/samycketbattre/article21721901.ab,7413
Nov-15,http://www.aftonbladet.se/nojesbladet/tv/samycketbattre/article21709219.ab,16777
Nov-15,http://www.aftonbladet.se/nyheter/paflykt/article21720939.ab,415
Nov-15,http://www.aftonbladet.se/nyheter/krim/article21649796.ab,187
Nov-15,http://www.aftonbladet.se/nojesbladet/scen/article21711990.ab,546
Nov-15,http://www.aftonbladet.se/nyheter/paflykt/article21711081.ab,0
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21707029.ab,422
Nov-15,http://www.aftonbladet.se/kultur/article21703867.ab,4672
Nov-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article21697826.ab,9786
Nov-15,http://www.aftonbladet.se/nyheter/article21698028.ab,2429
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21694876.ab,120
Nov-15,http://www.aftonbladet.se/nyheter/article21692570.ab,12475
Nov-15,http://www.aftonbladet.se/nojesbladet/article21691257.ab,302
Nov-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article21692567.ab,833
Nov-15,http://www.aftonbladet.se/nyheter/samhalle/article21677479.ab,144
