Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Signup Conversion Rate,Signup
Norway,79554,37.14%,29545,34.58%,5.47,304.62,2.86%,2273
Germany,43368,33.64%,14587,29.94%,5.36,292.18,1.75%,761
Sweden,144430,34.06%,49194,33.54%,5.23,292.68,1.16%,1672
Finland,44993,43.42%,19537,38.60%,5.13,274.53,2.08%,935
Spain,11419,41.40%,4728,36.32%,4.93,271.53,1.04%,119
United Kingdom,191622,44.24%,84778,38.39%,4.45,261.56,3.41%,6535
France,37903,52.24%,19800,42.26%,4.19,227.38,2.18%,828
Denmark,34305,45.32%,15548,45.20%,4.15,214.50,1.32%,454
Netherlands,53926,36.53%,19699,49.94%,3.93,190.76,1.65%,890
Brazil,244048,48.98%,119540,42.86%,3.85,233.12,2.69%,6566
Mexico,247694,56.15%,139080,57.53%,3.33,216.16,2.86%,7073
Italy,38372,75.55%,28990,55.95%,2.74,110.09,1.24%,474
