Date,Revenue,newdate
5-Sep-14,1269.6,9/5/2014
6-Sep-14,1194.4,9/6/2014
7-Sep-14,4153.36,9/7/2014
8-Sep-14,5244.5,9/8/2014
9-Sep-14,1650.4,9/9/2014
10-Sep-14,3079.2,9/10/2014
11-Sep-14,617.6,9/11/2014
12-Sep-14,960.8,9/12/2014
13-Sep-14,4214.39,9/13/2014
14-Sep-14,2116.8,9/14/2014
15-Sep-14,6406.6,9/15/2014
16-Sep-14,5864.08,9/16/2014
17-Sep-14,1781.6,9/17/2014
18-Sep-14,1317.6,9/18/2014
19-Sep-14,490.4,9/19/2014
20-Sep-14,1693.6,9/20/2014
21-Sep-14,1957.6,9/21/2014
22-Sep-14,3459.2,9/22/2014
23-Sep-14,7211.1,9/23/2014
24-Sep-14,5172,9/24/2014
25-Sep-14,1862.4,9/25/2014
26-Sep-14,3057.83,9/26/2014
27-Sep-14,0,9/27/2014
28-Sep-14,2677.36,9/28/2014
29-Sep-14,4091.05,9/29/2014
30-Sep-14,4149.49,9/30/2014
1-Oct-14,5898.5,10/1/2014
2-Oct-14,915.2,10/2/2014
3-Oct-14,1943.2,10/3/2014
4-Oct-14,5521.7,10/4/2014
5-Oct-14,2339.2,10/5/2014
6-Oct-14,6621.33,10/6/2014
7-Oct-14,597.6,10/7/2014
8-Oct-14,4657.45,10/8/2014
9-Oct-14,1128.8,10/9/2014
10-Oct-14,2392.8,10/10/2014
11-Oct-14,153.6,10/11/2014
12-Oct-14,918.4,10/12/2014
13-Oct-14,5328.7,10/13/2014
14-Oct-14,5619.25,10/14/2014
15-Oct-14,1290.4,10/15/2014
16-Oct-14,1514.45,10/16/2014
17-Oct-14,2022.3,10/17/2014
18-Oct-14,1671.75,10/18/2014
19-Oct-14,1700.49,10/19/2014
20-Oct-14,5742.65,10/20/2014
21-Oct-14,9388.35,10/21/2014
22-Oct-14,3133.6,10/22/2014
23-Oct-14,900.32,10/23/2014
24-Oct-14,2177.44,10/24/2014
25-Oct-14,3009.28,10/25/2014
26-Oct-14,1239.2,10/26/2014
27-Oct-14,7359.9,10/27/2014
28-Oct-14,3028.15,10/28/2014
29-Oct-14,2041.6,10/29/2014
30-Oct-14,2640,10/30/2014
31-Oct-14,5556.2,10/31/2014
1-Nov-14,1482.4,11/1/2014
2-Nov-14,1827.2,11/2/2014
3-Nov-14,15589.25,11/3/2014
4-Nov-14,4595.2,11/4/2014
5-Nov-14,1581.6,11/5/2014
6-Nov-14,1532,11/6/2014
7-Nov-14,4055.85,11/7/2014
8-Nov-14,2710.75,11/8/2014
9-Nov-14,1699.2,11/9/2014
10-Nov-14,6907.5,11/10/2014
11-Nov-14,4407.92,11/11/2014
12-Nov-14,5447.3,11/12/2014
13-Nov-14,3148.8,11/13/2014
14-Nov-14,2025.8,11/14/2014
15-Nov-14,2087.25,11/15/2014
16-Nov-14,4589.27,11/16/2014
17-Nov-14,8752.55,11/17/2014
18-Nov-14,22685.15,11/18/2014
19-Nov-14,1932,11/19/2014
20-Nov-14,2561.6,11/20/2014
21-Nov-14,2261.76,11/21/2014
22-Nov-14,1172,11/22/2014
23-Nov-14,2429.6,11/23/2014
24-Nov-14,3147.83,11/24/2014
25-Nov-14,3663.15,11/25/2014
26-Nov-14,8072.15,11/26/2014
27-Nov-14,7033.5,11/27/2014
28-Nov-14,2368.4,11/28/2014
29-Nov-14,2639.7,11/29/2014
30-Nov-14,3499.6,11/30/2014
1-Dec-14,2619.19,12/1/2014
2-Dec-14,4720.33,12/2/2014
3-Dec-14,10359.1,12/3/2014
4-Dec-14,1724.8,12/4/2014
5-Dec-14,9073.4,12/5/2014
6-Dec-14,7504.51,12/6/2014
7-Dec-14,4392,12/7/2014
8-Dec-14,17139.1,12/8/2014
9-Dec-14,3864,12/9/2014
10-Dec-14,5140.63,12/10/2014
11-Dec-14,8186.55,12/11/2014
12-Dec-14,4420.8,12/12/2014
13-Dec-14,5899,12/13/2014
14-Dec-14,3009.6,12/14/2014
15-Dec-14,2356.8,12/15/2014
16-Dec-14,2492.8,12/16/2014
17-Dec-14,3770.4,12/17/2014
18-Dec-14,4058.4,12/18/2014
19-Dec-14,4981.8,12/19/2014
20-Dec-14,1279.2,12/20/2014
21-Dec-14,966.4,12/21/2014
22-Dec-14,5108.75,12/22/2014
23-Dec-14,7296.46,12/23/2014
24-Dec-14,681.6,12/24/2014
25-Dec-14,1009.25,12/25/2014
26-Dec-14,1250.4,12/26/2014
27-Dec-14,1004,12/27/2014
28-Dec-14,1785.6,12/28/2014
29-Dec-14,2043.2,12/29/2014
30-Dec-14,2028,12/30/2014
31-Dec-14,606.4,12/31/2014
1-Jan-15,0,1/1/2015
2-Jan-15,1600.7,1/2/2015
3-Jan-15,1332.8,1/3/2015
4-Jan-15,10727.11,1/4/2015
5-Jan-15,1629.6,1/5/2015
6-Jan-15,4022.85,1/6/2015
7-Jan-15,8726.5,1/7/2015
8-Jan-15,1380.8,1/8/2015
9-Jan-15,1724.8,1/9/2015
10-Jan-15,1014.4,1/10/2015
11-Jan-15,2346.7,1/11/2015
12-Jan-15,72045.3,1/12/2015
13-Jan-15,7600.1,1/13/2015
14-Jan-15,7942.91,1/14/2015
15-Jan-15,12003.33,1/15/2015
16-Jan-15,5631.05,1/16/2015
17-Jan-15,1312.8,1/17/2015
18-Jan-15,2410.88,1/18/2015
19-Jan-15,11568.05,1/19/2015
20-Jan-15,2229.76,1/20/2015
21-Jan-15,4034.2,1/21/2015
22-Jan-15,12011.75,1/22/2015
23-Jan-15,2864.8,1/23/2015
24-Jan-15,3530.4,1/24/2015
25-Jan-15,7949.75,1/25/2015
26-Jan-15,3608.32,1/26/2015
27-Jan-15,2114.4,1/27/2015
28-Jan-15,3181.65,1/28/2015
29-Jan-15,7496.35,1/29/2015
30-Jan-15,30613.25,1/30/2015
31-Jan-15,1130.71,1/31/2015
1-Feb-15,5226.41,2/1/2015
2-Feb-15,10287.5,2/2/2015
3-Feb-15,2928.8,2/3/2015
4-Feb-15,10340.6,2/4/2015
5-Feb-15,10353.15,2/5/2015
6-Feb-15,519.2,2/6/2015
7-Feb-15,691.2,2/7/2015
8-Feb-15,2898.4,2/8/2015
9-Feb-15,1694.72,2/9/2015
10-Feb-15,5539.17,2/10/2015
11-Feb-15,15937.5,2/11/2015
12-Feb-15,3290.4,2/12/2015
13-Feb-15,33346.7,2/13/2015
14-Feb-15,515.2,2/14/2015
15-Feb-15,6104.85,2/15/2015
16-Feb-15,1042.56,2/16/2015
17-Feb-15,6679.61,2/17/2015
18-Feb-15,8068.77,2/18/2015
19-Feb-15,2180,2/19/2015
20-Feb-15,8839.85,2/20/2015
21-Feb-15,2715.2,2/21/2015
22-Feb-15,2481.6,2/22/2015
23-Feb-15,24594.05,2/23/2015
24-Feb-15,4550.75,2/24/2015
25-Feb-15,2065.28,2/25/2015
26-Feb-15,12972.3,2/26/2015
27-Feb-15,2597.59,2/27/2015
28-Feb-15,1281.43,2/28/2015
1-Mar-15,3009.76,3/1/2015
2-Mar-15,7764.22,3/2/2015
3-Mar-15,5884.85,3/3/2015
4-Mar-15,2514.4,3/4/2015
5-Mar-15,2480,3/5/2015
6-Mar-15,6795.5,3/6/2015
7-Mar-15,1910.24,3/7/2015
8-Mar-15,2084.8,3/8/2015
9-Mar-15,4571.2,3/9/2015
10-Mar-15,21719.1,3/10/2015
11-Mar-15,2862.24,3/11/2015
12-Mar-15,9883,3/12/2015
13-Mar-15,794.4,3/13/2015
14-Mar-15,3179.2,3/14/2015
15-Mar-15,4072.32,3/15/2015
16-Mar-15,2937.2,3/16/2015
17-Mar-15,4413.06,3/17/2015
18-Mar-15,11349.8,3/18/2015
19-Mar-15,3667.6,3/19/2015
20-Mar-15,4060.1,3/20/2015
21-Mar-15,1452,3/21/2015
22-Mar-15,1090.4,3/22/2015
23-Mar-15,11992.85,3/23/2015
24-Mar-15,26658.1,3/24/2015
25-Mar-15,6994.8,3/25/2015
26-Mar-15,6366.3,3/26/2015
27-Mar-15,2274.4,3/27/2015
28-Mar-15,3705.75,3/28/2015
29-Mar-15,1781.6,3/29/2015
30-Mar-15,1200.7,3/30/2015
31-Mar-15,2607.2,3/31/2015
1-Apr-15,1207.52,4/1/2015
2-Apr-15,586.4,4/2/2015
3-Apr-15,1014.4,4/3/2015
4-Apr-15,1512.17,4/4/2015
5-Apr-15,1822.4,4/5/2015
6-Apr-15,1101.6,4/6/2015
7-Apr-15,5481.7,4/7/2015
8-Apr-15,6805.15,4/8/2015
9-Apr-15,11595.7,4/9/2015
10-Apr-15,2787.06,4/10/2015
11-Apr-15,753.6,4/11/2015
12-Apr-15,2024.35,4/12/2015
13-Apr-15,19298.3,4/13/2015
14-Apr-15,21459.92,4/14/2015
15-Apr-15,7617.5,4/15/2015
16-Apr-15,2558.08,4/16/2015
17-Apr-15,1950.4,4/17/2015
18-Apr-15,3421.55,4/18/2015
19-Apr-15,5430.79,4/19/2015
20-Apr-15,6119.6,4/20/2015
21-Apr-15,1437.6,4/21/2015
22-Apr-15,9924.55,4/22/2015
23-Apr-15,2619.2,4/23/2015
24-Apr-15,2364.8,4/24/2015
25-Apr-15,1998.64,4/25/2015
26-Apr-15,2008.8,4/26/2015
27-Apr-15,15385.33,4/27/2015
28-Apr-15,13824.65,4/28/2015
29-Apr-15,4844,4/29/2015
30-Apr-15,21404.2,4/30/2015
1-May-15,2220,5/1/2015
2-May-15,1857.6,5/2/2015
3-May-15,1834.4,5/3/2015
4-May-15,2694.95,5/4/2015
5-May-15,3241.05,5/5/2015
6-May-15,3654.4,5/6/2015
7-May-15,25721.5,5/7/2015
8-May-15,10596.75,5/8/2015
9-May-15,1960.8,5/9/2015
10-May-15,939.2,5/10/2015
11-May-15,14549.75,5/11/2015
12-May-15,1528,5/12/2015
13-May-15,1072,5/13/2015
14-May-15,5197.7,5/14/2015
15-May-15,1363.55,5/15/2015
16-May-15,524,5/16/2015
17-May-15,3536.8,5/17/2015
18-May-15,7969.35,5/18/2015
19-May-15,4109.23,5/19/2015
20-May-15,1939.04,5/20/2015
21-May-15,1781.5,5/21/2015
22-May-15,1008.8,5/22/2015
23-May-15,1133.6,5/23/2015
24-May-15,1672,5/24/2015
25-May-15,19961.59,5/25/2015
26-May-15,2790.4,5/26/2015
27-May-15,4431.25,5/27/2015
28-May-15,1208,5/28/2015
29-May-15,2670.8,5/29/2015
30-May-15,5689.7,5/30/2015
31-May-15,2281.98,5/31/2015
1-Jun-15,19407.15,6/1/2015
2-Jun-15,6273.04,6/2/2015
3-Jun-15,4067.75,6/3/2015
4-Jun-15,2532,6/4/2015
5-Jun-15,788.6,6/5/2015
6-Jun-15,1385.6,6/6/2015
7-Jun-15,2341.6,6/7/2015
8-Jun-15,17900.7,6/8/2015
9-Jun-15,7200.6,6/9/2015
10-Jun-15,42253,6/10/2015
11-Jun-15,18420.5,6/11/2015
12-Jun-15,685.6,6/12/2015
13-Jun-15,3769.6,6/13/2015
14-Jun-15,2676,6/14/2015
15-Jun-15,3531.2,6/15/2015
16-Jun-15,3188.8,6/16/2015
17-Jun-15,6238.1,6/17/2015
18-Jun-15,20480.75,6/18/2015
19-Jun-15,0,6/19/2015
20-Jun-15,1229.27,6/20/2015
21-Jun-15,2072.15,6/21/2015
22-Jun-15,4015.3,6/22/2015
23-Jun-15,4427.9,6/23/2015
24-Jun-15,11535.9,6/24/2015
25-Jun-15,3022.4,6/25/2015
26-Jun-15,5760.6,6/26/2015
27-Jun-15,2009.6,6/27/2015
28-Jun-15,1617.6,6/28/2015
29-Jun-15,7834.82,6/29/2015
30-Jun-15,1524.8,6/30/2015
1-Jul-15,2128,7/1/2015
2-Jul-15,1405.6,7/2/2015
3-Jul-15,2036.2,7/3/2015
4-Jul-15,471.2,7/4/2015
