Date,bedTime,Day,secondsAsleep,timeAsleep
"August 15, 2015 ",11:45PM,7,24300,6.75
"August 16, 2015 ",11:30PM,1,24660,6.85
"August 17, 2015 ",11:00PM,2,50340,13.98
"August 18, 2015 ",10:52PM,3,24780,6.88
"August 20, 2015 ",10:42PM,5,25560,7.10
"August 21, 2015 ",09:30PM,6,30600,8.50
"August 22, 2015 ",10:48PM,7,31140,8.65
"August 23, 2015 ",11:16PM,1,26880,7.47
"August 24, 2015 ",10:45PM,2,26940,7.48
"August 25, 2015 ",10:20PM,3,29040,8.07
"August 26, 2015 ",10:46PM,4,23400,6.50
"August 27, 2015 ",11:34PM,5,23160,6.43
"August 28, 2015 ",11:12PM,6,24720,6.87
"August 30, 2015 ",12:09AM,1,24120,6.70
"August 30, 2015 ",10:47PM,1,29460,8.18
"August 31, 2015 ",10:59AM,2,0,0.00
"August 31, 2015 ",10:22PM,2,29340,8.15
"September 1, 2015 ",10:05PM,3,30180,8.38
"September 2, 2015 ",10:02PM,4,30120,8.37
"September 3, 2015 ",10:46PM,5,25980,7.22
"September 5, 2015 ",12:28AM,7,24600,6.83
"September 14, 2015 ",10:26PM,2,28620,7.95
"September 15, 2015 ",11:10PM,3,24240,6.73
"September 16, 2015 ",10:57PM,4,26640,7.40
"September 17, 2015 ",10:48PM,5,27420,7.62
"September 19, 2015 ",12:00AM,7,26760,7.43
"September 19, 2015 ",11:45PM,7,26640,7.40
"September 20, 2015 ",10:51PM,1,27540,7.65
"September 21, 2015 ",10:39PM,2,27720,7.70
"September 22, 2015 ",10:48PM,3,27180,7.55
"September 23, 2015 ",11:23PM,4,24540,6.82
"September 24, 2015 ",11:32PM,5,24900,6.92
"September 25, 2015 ",11:30PM,6,24420,6.78
"September 27, 2015 ",12:04AM,1,29640,8.23
"September 27, 2015 ",11:14PM,1,25980,7.22
"September 28, 2015 ",10:25PM,2,28800,8.00
"September 30, 2015 ",12:56AM,4,20940,5.82
"September 30, 2015 ",10:40PM,4,29100,8.08
"October 1, 2015 ",11:43PM,5,23580,6.55
"October 3, 2015 ",01:00AM,7,18060,5.02
"October 4, 2015 ",12:47AM,1,23340,6.48
"October 4, 2015 ",11:45PM,1,24720,6.87
"October 5, 2015 ",11:59PM,2,25560,7.10
"October 8, 2015 ",09:10AM,5,15240,4.23
"October 9, 2015 ",05:45AM,6,18180,5.05
